ProtocolID,FreezeID,NullID,NullClass,Definition,Required,PrimaryDefeatRequired,TargetResidualsUsedForPolicy,ScoreOutcomeUsedForPolicy,PTauCovScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,OUTSIDE_EXPANDED_SUPPORT,localization_control,score complement of declared expanded support,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,SHUFFLED_EXPANDED_SUPPORT,support_null,shuffle expanded support preserving active-cell count,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,MORPHOLOGY_NULL,morphology_null,preserve morphology-like energy while destroying branch-relaxation structure,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,PROJECTION_NULL,projection_null,preserve support while breaking parent projection coupling,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,SCALE_ONLY_NULL,expanded_axis_null,retain coordinate-scale axis but remove Phi/B/P coupling,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,CONTEXT_ONLY_NULL,expanded_axis_null,retain observing-context axis but remove parent-source contrast,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,GENERIC_RANDOM_SMOOTH_PSD,generic_baseline,strongest declared random smooth PSD comparator,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,GENERIC_DIAGONAL,generic_baseline,diagonal variance inflation comparator,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,GENERIC_FAMILY_PERMUTED,generic_baseline,family-permuted structure,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,GENERIC_WRONG_CLOCK,generic_baseline,wrong-clock support comparator,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_EXPANDED_PARENT_OPERATOR_NULL_COMPARATORS_FREEZE_v1,GENERIC_PHASE_SHIFT,generic_baseline,phase-shift support comparator,True,True,False,False,False,expanded_parent_operator_null_comparators_freeze_no_scoring
