PacketID,GateID,EvidenceFile,Status,Finding,RoleInProofChain,ClaimBoundary
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,LOCKED_A2_PREDICTION,evidence/k2_a2_prediction_lock_readiness.csv,PASS,"Locked A2 prediction exists with p=3, rho=4, A_tau=2; no rho>4 or K1 refit is authorized.",claim_integrity,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,PREFLIGHT_SCORING_GATE,evidence/k2_a2_preflight_scoring_gate_summary.csv,PASS,Preflight scorecard allowed=True; measurement validation allowed=False.,execution_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,FULL_MEASUREMENT_GATE,evidence/k2_a2_full_likelihood_gate_readiness.csv,PASS,8/8 required gates pass; blockers=,measurement_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,MEMORY_ACTIVE_CLAIM_BOUNDARY,evidence/k2_a2_memory_active_claim_summary.csv,PASS,locked memory-active preflight candidate; not measurement validation,claim_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,DEPTH_ACTIVATION,evidence/tau_core_depth_activation_summary.csv,PASS,Depth activation checks=8/8; locked_A2_matches_depth_activation_preflight_pattern,tau_core_signature,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,SOURCE_SPLIT_GEOMETRY,evidence/tau_core_source_split_geometry_summary.csv,PASS,Geometry checks=9/9; A_tau_2_supported_by_source_split_geometry_plus_depth_activation,tau_core_signature,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,A_TAU_2_AMPLITUDE_SPECIFICITY,evidence/tau_core_a2_amplitude_specificity_summary.csv,PASS,Memory-subset A_opt median=1.9622035643076756; range=1.7309672410389194..2.7532172199727065; within A2 half-band=3/4.,amplitude_specificity,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,MEMORY_ACTIVE_SCORECARD,evidence/k2_a2_memory_active_scorecard_summary.csv,PASS,mid/high DeltaAIC A2-K1=-3.126603990232332; A2-unit=-0.973487913044713; A2-poly=-6.466013387362281.,control_comparison,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,CROSS_COVARIANCE_ROBUSTNESS,evidence/k2_a2_memory_active_cross_covariance_summary.csv,PASS,mid/high A2 beats best polynomial 27/27 rho_cross values.,robustness,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,TRANSFORM_VARIANT_ROBUSTNESS,evidence/k2_a2_transform_variant_robustness_summary.csv,PASS,mid/high A2 beats best polynomial 6/6 transform variants.,robustness,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,RANDOMIZATION_CONTROLS,evidence/k2_a2_memory_active_randomization_summary.csv,PASS,mid/high observed beats randomized medians=12/12; median p=0.015625..0.0180555555555555.,negative_control,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,TARGET_REGIME_POLYNOMIAL_AUDIT,evidence/tau_core_target_regime_polynomial_summary.csv,PASS,locked A2 remains competitive against polynomial controls in the predeclared memory-active window; status=MEMORY_ACTIVE_PREFLIGHT_STRENGTHENED_ALL_DEPTH_MEASUREMENT_BLOCKED; measurement validation allowed=False.,target_regime_control_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,PHYSICAL_NULL_PREFLIGHT_LAYER,evidence/tau_core_physical_null_preflight_summary.csv,PASS,locked A2 is stronger than current physical-null proxy controls in preflight scoring; status=PHYSICAL_NULL_PROXY_LAYER_SUPPORTS_A2_PREFLIGHT_BUT_CALIBRATION_BLOCKED; residual risk=physical nulls lack measurement-grade source-split mapping and source-native covariance.,physical_null_control_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,OPTICAL_ALPHA_RESIDUAL_AUDIT,evidence/tau_core_alpha_residual_summary.csv,PASS,current as-declared optical alpha preview does not absorb the locked A2 preflight residual; status=AS_DECLARED_ALPHA_TOO_SMALL_TO_EXPLAIN_A2_PREFLIGHT_SIGNAL; residual risk=alpha sign convention and source-native covariance remain non-scoring.,physical_null_residual_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,TARGET_REGIME_STRESS_AUDIT,evidence/tau_core_target_regime_stress_summary.csv,PASS,locked A2 target-regime signal survives predeclared stress tests at preflight level; leave-one-out fraction=1.0; rebinning=4/4; transform variants=6/6; randomization controls=12/12.,target_regime_stress_backbone,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,LIKELIHOOD_NATIVE_SUPPORT_LADDER,evidence/source_split_likelihood_native_support_ladder_summary.csv,PASS,strongest status=DECLARED_PREFLIGHT_SUPPORT; K2-vs-K1=SUPPORTIVE_PREFLIGHT; K2-vs-polynomial=MIXED_CONDITIONAL_SUPPORT; public covariance=WEAKENING_PUBLIC_PROXY; measurement validation=BLOCKED.,likelihood_native_scorecard_rerun,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,A2_ROUTE_DECISION_MATRIX,evidence/tau_core_a2_route_decision_summary.csv,PASS,recommended route=R3_BRANCH_SCATTER_SYSTEMATIC; public covariance=BLOCKED; registered shrinkage=FUTURE_PREFLIGHT_ONLY; branch scatter=INDEPENDENTLY_CALIBRATED_PREFLIGHT_SUPPORT; measurement validation allowed=False.,route_selection_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,BRANCH_SCATTER_SYSTEMATIC_REGISTRATION,evidence/branch_scatter_systematic_registration_summary.csv,PASS,branch scatter is registered as a declared A2 preflight bridge; status=BRANCH_SCATTER_REGISTERED_AS_PREFLIGHT_SYSTEMATIC_BRIDGE; warnings=1; measurement blockers=2.,registered_preflight_bridge,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,BRANCH_SCATTER_INDEPENDENT_CALIBRATION,evidence/branch_scatter_independent_calibration_summary.csv,PASS,branch-scatter A2 preflight bridge is independently supported by public reconstruction-family responses; reconstruction-family subsets=7/7; branch-scatter K2-best=5/5; measurement validation allowed=False.,independent_preflight_calibration,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,FULL_PUBLIC_COVARIANCE_TRANSFORM_AUDIT,evidence/full_public_covariance_transform_summary.csv,WARNING,"public covariance inputs are available and propagatable, but full likelihood-native covariance route remains blocked; raw SN covariance=True; raw BAO covariance=True; zero-cross usable=True; K2 beats polynomial=False.",measurement_route_blocker,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,JOINT_COVARIANCE_ADJUDICATION,evidence/joint_covariance_adjudication_summary.csv,WARNING,"public joint-covariance routes support A2 over K1, while the calibrated branch bridge supports A2 over K1 and polynomial controls at preflight level; public routes K2>K1=2/2; public routes K2>poly=0/2; primary blocker=public covariance routes remain polynomial-dominated; branch bridge is not measurement-grade.",joint_covariance_route_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,LIKELIHOOD_NATIVE_INPUT_OBJECT_AUDIT,evidence/likelihood_native_input_object_summary.csv,PASS,public SN and BAO input objects are locally present and dimensionally consistent for preflight planning; preflight usable objects=4/4; measurement usable objects=0/4; primary blocker=likelihood-native SN and BAO residual definitions are not frozen.,public_input_availability_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,LIKELIHOOD_NATIVE_RESIDUAL_DEFINITION_CONTRACT,evidence/likelihood_native_residual_definition_readiness.csv,WARNING,"SN and BAO residual routes have explicit preflight definitions and measurement blockers; measurement-ready residual contracts=0/6; rerun-resolved contracts=6/6; primary blocker=residual policies are ready for a locked rerun candidate, but measurement validation still requires final joint covariance adjudication.",residual_definition_measurement_boundary,tau_core_a2_preflight_packet_no_measurement_validation
TAU_CORE_A2_PREFLIGHT_PROOF_PACKET_V1,FULL_LIKELIHOOD_NATIVE_JOINT_TRANSFORM_CONTRACT,evidence/full_likelihood_native_joint_transform_readiness.csv,WARNING,"raw public covariance inputs and a locked A2 preflight route exist, but likelihood-native measurement scoring remains blocked; measurement satisfied=1/8; blocking requirements=FLN_1_SN_RESIDUAL_DEFINITION;FLN_2_BAO_RESIDUAL_DEFINITION;FLN_3_SOURCE_SPLIT_VECTOR;FLN_4_JOINT_COVARIANCE;FLN_5_CROSS_COVARIANCE_POLICY;FLN_6_K1_BASELINE;FLN_7_NULL_POLICY.",full_likelihood_native_measurement_contract,tau_core_a2_preflight_packet_no_measurement_validation
